TIME=2026-09-17 09:26:32
PACKAGE=com.langla.net
UID=10072
CAPTURE_SECONDS=60

=== UNIQUE REMOTE IP:PORT CALLED BY CLIENT ===

Proto IP                     Port State First    Last     Hits
----- --                     ---- ----- -----    ----     ----
TCP   ::ffff:103.77.172.197    80 01    09:27:07 09:27:41   30
TCP   ::ffff:103.77.172.197    81 01    09:27:04 09:27:41   33
TCP   ::ffff:103.77.172.197    82 01    09:27:02 09:27:41   35
TCP   ::ffff:103.77.172.197    86 01    09:27:04 09:27:41   33
TCP   ::ffff:119.147.179.152   80 01    09:27:07 09:27:41   30
TCP   ::ffff:122.188.44.139    80 08    09:26:33 09:26:43   10
TCP   ::ffff:14.22.7.199       80 08    09:26:33 09:27:06   28
TCP   ::ffff:175.24.255.108   443 02    09:26:48 09:27:06   17
TCP   ::ffff:43.159.104.93    443 01    09:26:47 09:27:03   15
TCP   103.77.172.197         9002 01    09:26:33 09:27:41   41



=== IMPORTANT TARGETS ===

Proto IP                     Port State First    Last     Hits
----- --                     ---- ----- -----    ----     ----
TCP   ::ffff:103.77.172.197    80 01    09:27:07 09:27:41   30
TCP   ::ffff:103.77.172.197    81 01    09:27:04 09:27:41   33
TCP   ::ffff:103.77.172.197    82 01    09:27:02 09:27:41   35
TCP   ::ffff:119.147.179.152   80 01    09:27:07 09:27:41   30
TCP   ::ffff:122.188.44.139    80 08    09:26:33 09:26:43   10
TCP   ::ffff:14.22.7.199       80 08    09:26:33 09:27:06   28
TCP   ::ffff:175.24.255.108   443 02    09:26:48 09:27:06   17
TCP   ::ffff:43.159.104.93    443 01    09:26:47 09:27:03   15
TCP   103.77.172.197         9002 01    09:26:33 09:27:41   41



